PublishYear,afr,ang,ara,cat,chp,elx,en-CA,en-GB,en-US,eng,enm,fil,fin,fre,frm,frs,ger,gla,gle,glg,grc,gre,guj,heb,hin,hun,hye,ind,ita,jpn,kor,lao,lat,lit,msa,mul,myn,nav,nl,nor,per,pol,por,raj,rus,sco,scr,spa,srp,swe,tam,tgl,tha,tlh,tur,urd,wak,wel,ypk,zho
2004.0,,,3.55,3.7,,,4.0,3.8623243243243244,3.9133868613138687,3.869907945736434,,,,3.8417391304347825,,,3.8649999999999998,,4.47,,3.76,,,,,,,,4.116666666666666,4.3035,,,4.05,,,3.998571428571428,,,,,3.748,,4.055555555555555,,4.176666666666667,5.0,,3.849312169312169,,3.785,,,,,4.33,5.0,,,,4.451538461538462
2005.0,,,3.7800000000000002,3.85,,,3.9025,3.886476683937824,3.874582338902148,3.8793602693602693,3.725,,,3.5894285714285714,,,3.8909090909090907,,,3.85,,,,,4.34,,4.29,,3.4,4.133333333333333,4.67,,4.17,,,4.0088888888888885,,3.5300000000000002,3.67,,4.04,,3.89,3.76,4.004,,,3.8768045112781957,,3.5866666666666664,,,,,3.71,4.5600000000000005,,,,4.258181818181819
2006.0,,3.45,4.4325,,,,3.7880000000000003,3.880255319148936,3.881969111969112,3.8395736885928393,3.835,,,3.9231578947368426,,,3.26125,,,3.755,3.7,4.455,,,,,,,1.3166666666666667,3.705,,3.45,4.27,,4.11,4.12,,4.08,,,2.85,,3.8699999999999997,4.55,3.9033333333333338,,,3.850647249190938,,3.68,,,,,,,3.7800000000000002,,,4.085
2007.0,,,3.9699999999999998,,,,3.91,3.890136054421769,3.877680965147453,3.8724774405250204,,,,3.8841176470588237,4.2,,4.002857142857143,,,,,,,,,,3.5,4.46,,,,,3.99,,,3.435,,,,,4.04,,,,3.9400000000000004,,,3.8078651685393257,,3.64,,,,,,,,,,
2008.0,,,,,,,,3.953333333333333,3.8521052631578945,3.8620317460317457,,,,3.8414285714285716,,,3.16,,,,,,,,,,,,,,,,4.02,,,,,,,3.75,,,,,,,,3.5507142857142857,,,,,,,,,,,,
2009.0,,,,,,,,3.9275,3.853823529411765,3.9401923076923073,,,,4.29,,,3.7733333333333334,,,,4.163333333333333,,,,,,,,3.91,,,,3.5,,,,,,,,,,,,3.59,,,3.6339999999999995,,,,,4.03,,,,,,,
2010.0,,,,,,,,3.148,4.0225,3.9350253807106603,,,,3.86625,,,3.7800000000000002,4.47,,,,,,,,,,3.77,,,,,,,,,,,,,3.385,,3.9,,,,,3.9099999999999997,,,,,,,,,,,,
2011.0,,,,,,,,3.9444444444444446,3.8927777777777774,3.85921568627451,,,,4.065,,,4.093333333333334,,,,,,,,,,,,,4.06,,,3.94,,,,,,,,3.95,,,,,,,4.0625,,,,,,,,,,,,
2012.0,,,,,,,,3.8625,3.908333333333333,3.9342168674698796,,,,1.775,,,1.955,,,,,,,,,,,,,,,,,,,,,,,,,,3.99,,,,,4.08,,,,,,,,,,,,
2013.0,,,,,,,,3.84,3.8939999999999997,3.98972602739726,,,,3.9000000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.025,,,3.91,,,,,,,,,,,,
2014.0,,,,,,,,,3.9,3.8114893617021273,4.1,,,4.35,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,3.21,,,,,,,3.6333333333333333,,,,,,,,,,,,
2015.0,,,3.42,,,,,3.992,3.9683333333333337,3.848055555555556,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,,,3.785,,,,,,,,,,,,
2016.0,,,,,,,,3.55,3.8766666666666665,3.956774193548387,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.033333333333333,,,,,,,,,,,,
2017.0,,,,,,,,4.2,3.9111111111111114,4.058947368421053,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,4.15,,,,,,,,,,,,
2018.0,,,,,,,,,3.82,3.5363157894736843,,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6141666666666663,,,,,,,,,,,,
2019.0,,,,,,,,,4.025,3.7229166666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
2020.0,,,,,,,,,,4.112857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4989.0,,,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040.0,,,,,,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
